X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
0.5227,0.7984,1.5174,1.56,0.7462,3.3228,2.2322,0.1105,26,0.311,0.2139,0.3661,0
0.1239,0.2569,3.8927,3.48,0.1631,4.6753,4.4169,0.0174,2,0.2711,0.2049,0.3556,1
0.3565,0.5581,1.976,2.08,0.423,3.4488,2.649,0.0988,8,0.2405,0.2354,0.3163,1
0.3716,0.5512,1.9459,1.75,0.2719,3.505,2.7577,0.1163,10,0.1007,0.2087,0.3714,1
0.9113,1.5322,0.6211,0.7,1.621,3.7253,2.5658,0.4545,8,0.3206,0.2742,0.3849,0
0.7596,1.0889,1.0682,1.16,0.6053,2.9855,2.0857,0.1886,35,0.2121,0.2353,0.3129,0
0.2115,0.3526,2.9818,2.76,0.1903,4.1189,3.6732,0.0407,2,0.2657,0.2281,0.352,1
0.1585,0.3811,2.6754,3.11,0.1829,4.4227,3.2448,0.0532,3,0.3159,0.2613,0.3439,1
0.1829,0.2877,3.5778,3.15,0.2659,4.8984,4.2549,0.0638,1,0.3457,0.2666,0.3898,1
0.2805,0.4198,2.7831,2.76,0.6634,4.6401,3.6247,0.117,65,0.3569,0.216,0.37,1
0.2,0.3128,3.244,2.93,0.2268,4.8314,3.9349,0.0426,10,0.3311,0.2612,0.373,1
0.2805,0.4058,2.5242,2.42,0.2683,4.1203,3.1804,0.0851,4,0.3181,0.2676,0.3715,1
0.2341,0.4383,2.2426,2.4,0.1805,3.801,2.944,0.0426,2,0.1259,0.2315,0.3056,0
0.4561,0.6531,1.8113,1.86,0.8171,3.7404,2.8194,0.1383,34,0.267,0.2348,0.3621,0
0.239,0.4086,2.5728,2.54,0.3244,3.8897,3.0309,0.0532,10,0.3311,0.239,0.3001,1
1.2,2.1933,0.5862,0.63,1.5429,3.6838,4.1436,0.4667,2,0.3994,0.2676,0.3653,0
0.2806,0.4438,2.3721,2.33,0.2422,4.0143,3.1062,0.0942,4,0.3193,0.2696,0.3442,1
0.3429,0.7664,1.4519,1.81,0.5348,2.4926,1.779,0.2094,26,0.143,0.2811,0.3416,0
0.4892,0.6809,1.518,1.71,0.2494,3.6248,2.4174,0.0628,9,0.3563,0.2694,0.3149,1
0.3285,0.625,1.6959,2.02,0.1727,3.1504,2.1493,0.0524,19,0.1603,0.2539,0.3007,1
0.4878,0.7739,1.3111,1.64,0.4073,2.9954,1.6247,0.1223,16,0.1471,0.2219,0.3871,1
0.7984,2.1418,0.5874,0.78,1.1774,3.1485,3.523,0.2593,18,0.1021,0.2451,0.3699,0
0.5827,0.8646,1.5144,1.45,1.1847,3.9588,3.0491,0.267,22,0.3238,0.2822,0.338,0
0.5204,0.7775,1.536,1.57,0.7242,3.381,2.0899,0.2408,47,0.1413,0.2948,0.3916,0
0.4892,0.687,1.5219,1.51,0.3046,3.4946,2.2851,0.1204,17,0.1355,0.2872,0.349,0
0.7581,1.2718,0.6722,0.7,0.8306,2.6291,2.7976,0.2593,2,0.3332,0.2647,0.3406,0
0.5512,0.7328,1.4844,1.39,0.5659,3.3091,2.2245,0.2074,8,0.1583,0.2386,0.3583,1
0.9573,1.547,0.6519,0.72,0.9231,3.508,2.5133,0.451,17,0.2153,0.2538,0.3885,0
0.8489,1.2709,0.885,1.07,0.6091,3.3724,2.315,0.2147,56,0.2821,0.2208,0.3469,0
0.2157,0.428,2.4465,2.87,0.1647,4.2648,2.9142,0.069,5,0.3718,0.2989,0.3542,1
0.1529,0.2866,3.6537,3.46,0.1686,4.8443,4.3309,0.0517,6,0.3629,0.261,0.3149,1
0.1961,0.3674,2.8607,2.9,0.2353,4.5382,3.6344,0.0948,10,0.3506,0.2129,0.3981,1
0.2784,0.4408,2.3663,2.38,0.251,4.0596,3.1133,0.1293,14,0.3392,0.2681,0.3077,1
0.2539,0.4044,2.8593,2.94,0.5547,4.7607,3.8213,0.0855,28,0.1557,0.249,0.3969,1
0.1725,0.4607,2.2471,2.6,0.1843,3.398,2.8008,0.0862,3,0.3197,0.2562,0.303,1
0.4297,0.6176,1.8595,2.04,0.4844,3.7185,2.6886,0.1638,17,0.1264,0.2606,0.3989,1
0.2745,0.4529,2.3727,2.5,0.3176,3.9776,2.9161,0.1638,14,0.2315,0.2397,0.3059,1
0.9022,2.063,0.6217,0.72,1.0978,2.559,3.5435,0.2857,17,0.1655,0.2459,0.3009,0
0.6296,1.2979,0.5707,0.6,1.3333,3.5188,3.8095,0.0833,-2,0.1436,0.2662,0.3415,0
0.2773,0.4538,2.3328,2.39,0.2617,4.0539,2.9843,0.0776,9,0.3425,0.2259,0.3794,1
0.3477,0.7001,1.4507,1.75,0.4688,2.4506,1.7673,0.1897,0,0.1343,0.2319,0.3835,0
0.4414,0.657,1.6171,1.81,0.2734,3.5671,2.7795,0.069,8,0.2833,0.2187,0.3642,1
0.3385,0.6901,1.5393,1.87,0.2062,2.9165,2.0075,0.0513,17,0.1599,0.2843,0.3748,1
0.4336,0.8118,1.2992,1.98,0.2617,3.1041,1.5977,0.1379,8,0.1033,0.2922,0.3084,1
0.5292,0.8773,1.4015,1.52,0.8054,3.5436,2.8639,0.2222,28,0.2078,0.28,0.3886,0
0.5447,0.8206,1.4368,1.64,0.6848,3.2121,2.0056,0.1966,39,0.1732,0.277,0.3711,1
0.5058,0.6627,1.6088,1.65,0.2646,3.3705,2.2325,0.1624,8,0.2211,0.2659,0.3735,1
0.9105,1.5574,0.6471,0.66,0.6459,2.8177,1.9751,0.2991,14,0.2408,0.2492,0.317,0
0.9231,1.3908,0.6729,0.77,1.1923,3.4676,2.3175,0.4865,8,0.3249,0.2904,0.3843,0
0.5569,0.7965,1.349,1.26,0.6235,3.2374,2.0242,0.2586,2,0.3416,0.2218,0.3887,0
0.9572,1.5387,0.7966,0.96,0.7588,3.3719,2.048,0.2991,40,0.3561,0.2387,0.3658,0
0.1952,0.2941,3.3371,2.92,0.2449,4.8244,4.1863,0.0261,-17,0.1302,0.2109,0.3803,1
0.3186,0.4015,2.4542,1.89,0.1952,4.7978,3.7168,0.0336,-22,0.3118,0.2307,0.3367,1
0.2431,0.383,2.6829,2.62,0.3168,4.1707,3.4035,0.0373,6,0.1083,0.2664,0.394,1
0.2228,0.4579,2.1877,2.35,0.2578,3.5079,2.7276,0.0522,-15,0.389,0.291,0.3951,1
0.3794,0.6289,1.6515,1.71,0.3904,3.9615,2.672,0.1157,5,0.2169,0.2439,0.3767,1
0.4935,0.982,1.1896,1.23,0.9271,4.1067,3.0334,0.1321,26,0.258,0.2972,0.3914,0
0.1813,0.2979,3.2628,2.7,0.3271,4.1634,4.1487,0.034,-18,0.1861,0.2,0.3471,1
